ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,name
600809.SH,20230103,284.21,284.21,272.0,275.84,284.99,-9.15,-3.2106,72342.1,1990649.136,山西汾酒
600519.SH,20230103,1731.2,1738.43,1706.01,1730.01,1727.0,3.01,0.1743,26033.8,4487760.231,贵州茅台
002304.SZ,20230103,160.01,160.23,155.71,157.13,160.5,-3.37,-2.0997,62158.01,976852.732,洋河股份
000858.SZ,20230103,181.0,181.81,176.51,178.2,180.69,-2.49,-1.3781,182062.04,3240728.572,五粮液
000596.SZ,20230103,266.9,267.87,260.34,263.45,266.9,-3.45,-1.2926,17990.5,473175.77,古井贡酒
000568.SZ,20230103,224.0,225.28,217.79,219.86,224.28,-4.42,-1.9708,92381.52,2030869.788,泸州老窖
600809.SH,20230104,275.79,277.93,272.4,276.0,275.84,0.16,0.058,32210.12,887858.688,山西汾酒
600519.SH,20230104,1730.0,1738.7,1716.0,1725.01,1730.01,-5.0,-0.289,20415.75,3523582.306,贵州茅台
002304.SZ,20230104,156.51,159.51,155.0,157.7,157.13,0.57,0.3628,45102.57,711257.302,洋河股份
000858.SZ,20230104,178.0,180.5,176.3,178.62,178.2,0.42,0.2357,128835.84,2299619.966,五粮液
000596.SZ,20230104,262.99,266.23,258.5,263.56,263.45,0.11,0.0418,14694.0,386025.341,古井贡酒
000568.SZ,20230104,220.0,224.19,218.2,221.0,219.86,1.14,0.5185,68920.6,1525301.301,泸州老窖
600809.SH,20230105,279.62,289.7,277.28,286.06,276.0,10.06,3.6449,70846.11,2025766.7,山西汾酒
600519.SH,20230105,1737.0,1801.0,1733.0,1801.0,1725.01,75.99,4.4052,47942.85,8541587.089,贵州茅台
002304.SZ,20230105,158.99,168.29,158.14,165.74,157.7,8.04,5.0983,109772.5,1808374.178,洋河股份
000858.SZ,20230105,181.5,189.51,180.4,189.0,178.62,10.38,5.8112,402790.56,7535626.606,五粮液
000596.SZ,20230105,263.56,289.92,263.56,289.92,263.56,26.36,10.0015,35894.71,1006490.559,古井贡酒
000568.SZ,20230105,223.77,236.89,223.25,234.59,221.0,13.59,6.1493,135539.08,3156912.26,泸州老窖
600809.SH,20230106,286.06,290.25,281.25,287.5,286.06,1.44,0.5034,53363.68,1530052.029,山西汾酒
600519.SH,20230106,1806.12,1811.9,1787.0,1803.77,1801.0,2.77,0.1538,24903.75,4480838.898,贵州茅台
002304.SZ,20230106,165.74,168.2,163.18,166.64,165.74,0.9,0.543,65535.71,1085821.133,洋河股份
000858.SZ,20230106,191.11,191.11,187.78,190.46,189.0,1.46,0.7725,233382.95,4428033.739,五粮液
000596.SZ,20230106,294.0,299.86,284.12,291.45,289.92,1.53,0.5277,37955.74,1100872.215,古井贡酒
000568.SZ,20230106,234.59,236.21,230.63,234.57,234.59,-0.02,-0.0085,100035.39,2333063.64,泸州老窖
600809.SH,20230109,289.69,292.33,285.1,289.98,287.5,2.48,0.8626,51103.76,1477510.763,山西汾酒
600519.SH,20230109,1835.0,1849.98,1807.82,1841.2,1803.77,37.43,2.0751,30977.23,5684181.147,贵州茅台
002304.SZ,20230109,168.0,177.82,166.3,176.87,166.64,10.23,6.139,122825.08,2136082.795,洋河股份
000858.SZ,20230109,192.45,196.89,190.16,195.88,190.46,5.42,2.8457,275573.14,5362756.421,五粮液
000596.SZ,20230109,296.24,297.76,287.8,296.0,291.45,4.55,1.5612,25380.26,746631.145,古井贡酒
000568.SZ,20230109,234.57,241.9,232.4,238.46,234.57,3.89,1.6584,106081.96,2523163.703,泸州老窖
600809.SH,20230110,288.88,298.76,287.0,294.0,289.98,4.02,1.3863,52205.37,1537600.438,山西汾酒
600519.SH,20230110,1839.06,1864.5,1830.5,1854.45,1841.2,13.25,0.7196,22731.73,4204783.734,贵州茅台
002304.SZ,20230110,176.49,179.9,174.0,176.8,176.87,-0.07,-0.0396,70015.38,1238210.541,洋河股份
000858.SZ,20230110,195.8,196.71,194.61,195.24,195.88,-0.64,-0.3267,202752.36,3965377.701,五粮液
000596.SZ,20230110,296.01,301.0,293.0,295.76,296.0,-0.24,-0.0811,16466.4,487195.459,古井贡酒
000568.SZ,20230110,238.45,241.97,236.41,239.0,238.46,0.54,0.2265,67720.71,1620936.729,泸州老窖
600809.SH,20230111,294.0,296.83,291.01,294.0,294.0,0.0,0.0,40556.64,1192330.232,山西汾酒
600519.SH,20230111,1856.0,1860.0,1836.84,1844.95,1854.45,-9.5,-0.5123,22720.31,4201487.773,贵州茅台
002304.SZ,20230111,176.8,177.45,173.9,175.01,176.8,-1.79,-1.0124,44786.09,787220.965,洋河股份
000858.SZ,20230111,195.04,195.99,192.6,194.1,195.24,-1.14,-0.5839,169994.58,3304975.11,五粮液
000596.SZ,20230111,295.0,297.0,290.81,293.71,295.76,-2.05,-0.6931,12829.11,376737.845,古井贡酒
000568.SZ,20230111,238.0,239.57,235.58,237.0,239.0,-2.0,-0.8368,72995.67,1733483.566,泸州老窖
600809.SH,20230112,296.3,298.98,294.57,297.3,294.0,3.3,1.1224,47195.6,1402722.347,山西汾酒
600519.SH,20230112,1848.0,1856.0,1833.0,1834.0,1844.95,-10.95,-0.5935,17193.17,3162637.136,贵州茅台
002304.SZ,20230112,177.0,177.89,173.5,175.0,175.01,-0.01,-0.0057,53736.86,939833.249,洋河股份
000858.SZ,20230112,195.0,195.77,192.01,193.39,194.1,-0.71,-0.3658,138226.99,2675310.869,五粮液
000596.SZ,20230112,293.71,296.18,290.33,293.5,293.71,-0.21,-0.0715,9739.8,285534.982,古井贡酒
000568.SZ,20230112,238.34,241.78,235.6,236.66,237.0,-0.34,-0.1435,58971.21,1400864.763,泸州老窖
600809.SH,20230113,296.24,308.69,296.24,306.56,297.3,9.26,3.1147,66757.76,2039308.523,山西汾酒
600519.SH,20230113,1844.18,1888.0,1840.0,1887.0,1834.0,53.0,2.8899,31939.65,5969876.222,贵州茅台
002304.SZ,20230113,174.98,183.8,174.05,182.68,175.0,7.68,4.3886,104152.85,1878517.67,洋河股份
000858.SZ,20230113,193.39,199.41,193.34,198.58,193.39,5.19,2.6837,245064.46,4833945.958,五粮液
000596.SZ,20230113,294.9,299.3,291.31,295.25,293.5,1.75,0.5963,21903.45,647393.332,古井贡酒
000568.SZ,20230113,236.67,245.0,236.3,244.3,236.66,7.64,3.2283,120721.78,2927826.942,泸州老窖
600809.SH,20230116,306.52,318.8,306.07,311.9,306.56,5.34,1.7419,65996.31,2072197.094,山西汾酒
600519.SH,20230116,1886.0,1935.0,1881.0,1912.9,1887.0,25.9,1.3725,36848.26,7059982.64,贵州茅台
002304.SZ,20230116,183.0,190.66,182.22,186.28,182.68,3.6,1.9707,105903.05,1980769.396,洋河股份
000858.SZ,20230116,200.0,209.27,200.0,206.52,198.58,7.94,3.9984,363524.79,7493040.737,五粮液
000596.SZ,20230116,298.97,308.0,297.0,301.0,295.25,5.75,1.9475,29040.61,881351.031,古井贡酒
000568.SZ,20230116,246.73,257.99,246.0,252.0,244.3,7.7,3.1519,125922.79,3183135.635,泸州老窖
600809.SH,20230117,313.98,313.98,304.12,306.0,311.9,-5.9,-1.8916,45525.84,1396102.412,山西汾酒
600519.SH,20230117,1913.16,1923.0,1895.0,1908.0,1912.9,-4.9,-0.2562,21299.23,4068321.409,贵州茅台
002304.SZ,20230117,186.29,187.5,181.56,184.0,186.28,-2.28,-1.224,58945.71,1084345.16,洋河股份
000858.SZ,20230117,207.0,207.78,201.61,202.86,206.52,-3.66,-1.7722,215078.9,4383014.177,五粮液
000596.SZ,20230117,300.0,301.0,292.92,295.17,301.0,-5.83,-1.9369,19376.63,572468.165,古井贡酒
000568.SZ,20230117,252.01,255.12,246.49,249.01,252.0,-2.99,-1.1865,98064.06,2448756.43,泸州老窖
600809.SH,20230118,306.0,309.98,297.98,299.13,306.0,-6.87,-2.2451,55649.34,1675563.319,山西汾酒
600519.SH,20230118,1914.0,1925.3,1890.0,1893.0,1908.0,-15.0,-0.7862,21062.93,4008665.438,贵州茅台
002304.SZ,20230118,184.0,187.49,181.68,182.3,184.0,-1.7,-0.9239,36152.41,663149.31,洋河股份
000858.SZ,20230118,204.93,211.79,204.32,205.8,202.86,2.94,1.4493,272412.17,5639270.862,五粮液
000596.SZ,20230118,296.0,302.52,292.5,295.14,295.17,-0.03,-0.0102,15995.04,474476.956,古井贡酒
000568.SZ,20230118,250.0,253.6,245.25,246.5,249.01,-2.51,-1.008,77662.95,1930105.776,泸州老窖
600809.SH,20230119,298.91,300.75,292.96,298.48,299.13,-0.65,-0.2173,49935.41,1485127.638,山西汾酒
600519.SH,20230119,1892.5,1892.52,1866.0,1880.21,1893.0,-12.79,-0.6756,23438.89,4401994.437,贵州茅台
002304.SZ,20230119,182.3,186.6,178.49,184.47,182.3,2.17,1.1903,62788.26,1150964.78,洋河股份
000858.SZ,20230119,206.45,206.5,202.35,205.3,205.8,-0.5,-0.243,181198.92,3710296.048,五粮液
000596.SZ,20230119,294.0,296.0,289.11,293.0,295.14,-2.14,-0.7251,12940.17,378606.3,古井贡酒
000568.SZ,20230119,246.6,250.3,242.5,247.38,246.5,0.88,0.357,73252.45,1806513.613,泸州老窖
600809.SH,20230120,303.0,304.89,294.4,296.4,298.48,-2.08,-0.6969,49975.3,1494523.376,山西汾酒
600519.SH,20230120,1889.19,1898.25,1858.0,1860.01,1880.21,-20.2,-1.0743,25608.75,4807356.071,贵州茅台
002304.SZ,20230120,185.0,187.5,181.9,183.11,184.47,-1.36,-0.7372,39165.83,719747.916,洋河股份
000858.SZ,20230120,207.89,212.0,207.1,208.72,205.3,3.42,1.6659,273480.25,5738958.67,五粮液
000596.SZ,20230120,293.9,297.44,287.58,288.95,293.0,-4.05,-1.3823,12937.21,377603.997,古井贡酒
000568.SZ,20230120,248.65,253.4,246.65,247.8,247.38,0.42,0.1698,80198.29,2003590.392,泸州老窖
600809.SH,20230130,300.0,300.5,290.8,296.93,296.4,0.53,0.1788,72144.26,2137300.615,山西汾酒
600519.SH,20230130,1909.0,1909.0,1880.0,1888.0,1860.01,27.99,1.5048,35922.55,6799756.571,贵州茅台
002304.SZ,20230130,185.0,189.8,183.11,184.49,183.11,1.38,0.7536,73746.61,1371197.346,洋河股份
000858.SZ,20230130,218.59,219.89,214.28,217.6,208.72,8.88,4.2545,321808.76,7001555.735,五粮液
000596.SZ,20230130,288.4,293.33,280.0,287.59,288.95,-1.36,-0.4707,22010.95,633715.411,古井贡酒
000568.SZ,20230130,253.51,254.58,240.0,249.23,247.8,1.43,0.5771,99452.03,2459782.212,泸州老窖
600809.SH,20230131,296.9,300.0,289.0,291.55,296.93,-5.38,-1.8119,48631.41,1425584.469,山西汾酒
600519.SH,20230131,1896.5,1899.95,1833.07,1845.76,1888.0,-42.24,-2.2373,32990.68,6128311.548,贵州茅台
002304.SZ,20230131,185.68,186.0,175.26,175.6,184.49,-8.89,-4.8187,92172.32,1644894.047,洋河股份
000858.SZ,20230131,216.99,217.77,208.9,209.0,217.6,-8.6,-3.9522,257247.08,5456751.654,五粮液
000596.SZ,20230131,286.0,287.68,277.01,278.0,287.59,-9.59,-3.3346,23255.35,651176.149,古井贡酒
000568.SZ,20230131,249.0,249.0,235.08,237.0,249.23,-12.23,-4.9071,113007.43,2710907.685,泸州老窖
600809.SH,20230201,291.55,292.9,285.29,290.93,291.55,-0.62,-0.2127,50989.59,1473665.102,山西汾酒
600519.SH,20230201,1854.98,1859.0,1811.4,1844.97,1845.76,-0.79,-0.0428,33973.89,6244678.925,贵州茅台
002304.SZ,20230201,177.99,178.76,175.27,178.5,175.6,2.9,1.6515,69647.69,1235210.846,洋河股份
000858.SZ,20230201,208.5,210.6,203.76,210.06,209.0,1.06,0.5072,256552.23,5334911.717,五粮液
000596.SZ,20230201,279.94,283.02,275.0,281.98,278.0,3.98,1.4317,15610.41,437533.652,古井贡酒
000568.SZ,20230201,236.5,239.92,233.82,238.48,237.0,1.48,0.6245,102905.65,2436424.033,泸州老窖
600809.SH,20230202,292.88,294.5,288.91,291.4,290.93,0.47,0.1616,52314.14,1523258.53,山西汾酒
600519.SH,20230202,1848.38,1859.0,1826.0,1836.11,1844.97,-8.86,-0.4802,29758.86,5465509.51,贵州茅台
002304.SZ,20230202,179.08,179.18,174.5,175.84,178.5,-2.66,-1.4902,86714.29,1529995.947,洋河股份
000858.SZ,20230202,211.69,214.5,210.15,212.51,210.06,2.45,1.1663,183271.61,3899833.436,五粮液
000596.SZ,20230202,283.39,283.5,277.2,277.94,281.98,-4.04,-1.4327,17854.28,499449.452,古井贡酒
000568.SZ,20230202,240.03,241.99,235.17,239.02,238.48,0.54,0.2264,71212.57,1699521.194,泸州老窖
600809.SH,20230203,288.0,290.0,281.0,286.58,291.4,-4.82,-1.6541,56051.46,1595888.479,山西汾酒
600519.SH,20230203,1820.0,1826.0,1795.68,1818.0,1836.11,-18.11,-0.9863,34944.9,6324635.031,贵州茅台
002304.SZ,20230203,174.97,176.57,172.11,175.5,175.84,-0.34,-0.1934,67366.26,1174392.393,洋河股份
000858.SZ,20230203,210.0,212.0,206.0,210.0,212.51,-2.51,-1.1811,199352.09,4156921.814,五粮液
000596.SZ,20230203,277.46,282.8,273.3,281.78,277.94,3.84,1.3816,19656.17,549696.543,古井贡酒
000568.SZ,20230203,236.0,236.6,228.5,235.3,239.02,-3.72,-1.5564,109201.47,2541131.073,泸州老窖
